id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
39279,SCSJ,small_airport,"San Javier Airport",-35.629723,-71.699722,361,SA,Chile,CL,"Maule Region",CL-ML,ML,"San Javier",0,SCSJ,,,,https://en.wikipedia.org/wiki/San_Javier_Airport_(Chile),,50,2024-05-18T22:26:51+00:00
39227,SCNI,small_airport,"Santa Eugenia Airport",-36.434444,-72.156944,410,SA,Chile,CL,"Bío-Bío Region",CL-BI,BI,"San Nicolas",0,SCNI,,,,https://en.wikipedia.org/wiki/San_Nicol%C3%A1s_Santa_Eugena_Airport,,50,2024-05-18T22:16:03+00:00
39283,SCSQ,small_airport,"Quilpe Airport",-40.34111,-73.317223,157,SA,Chile,CL,"Los Lagos Region",CL-LL,LL,"San Pablo",0,SCSQ,,,,https://en.wikipedia.org/wiki/Quilpe_Airport,,50,2024-05-18T22:27:56+00:00
39307,SCVF,small_airport,"Verfrut Airport",-34.007221,-71.391945,443,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,"San Pedro",0,SCVF,,,,https://en.wikipedia.org/wiki/San_Pedro_Verfrut_Airport,,50,2024-05-18T22:33:53+00:00
32271,SCSS,small_airport,"San Sebastián Airport",-53.316262,-68.657343,50,SA,Chile,CL,"Magallanes Region",CL-MA,MA,"San Sebastian",0,SCSS,,,,https://en.wikipedia.org/wiki/San_Sebasti%C3%A1n_Airport_(Chile),,50,2024-05-18T22:28:10+00:00
39131,SCET,small_airport,"El Tambo Airport",-34.475555,-71.014168,748,SA,Chile,CL,"O'Higgins Region",CL-LI,LI,"San Vicente De Tagua Tagua",0,SCET,,,,https://en.wikipedia.org/wiki/San_Vicente_de_Tagua_Tagua_Airport,,50,2024-05-18T21:54:29+00:00
39128,SCEH,small_airport,"El Huachi Airport",-37.647221,-71.753891,1558,SA,Chile,CL,"Bío-Bío Region",CL-BI,BI,"Santa Barbara",0,SCEH,,,,https://en.wikipedia.org/wiki/El_Huachi_Airport,,50,2016-06-06T06:58:09+00:00
45078,SCTA,small_airport,"Santa Luisa Airport",-37.743889,-71.71,1818,SA,Chile,CL,"Bío-Bío Region",CL-BI,BI,"Santa Barbara",0,SCTA,,,,,,50,2009-10-16T21:49:21+00:00
39100,SCBD,small_airport,"El Boldal Airport",-34.684444,-71.206108,574,SA,Chile,CL,"O'Higgins Region",CL-LI,LI,"Santa Cruz",0,SCBD,,,,https://en.wikipedia.org/wiki/El_Boldal_Airport,,50,2024-06-07T09:44:08+00:00
39302,SCUZ,small_airport,"Aerosanta Cruz Airport",-34.649166,-71.386108,502,SA,Chile,CL,"O'Higgins Region",CL-LI,LI,"Santa Cruz",0,SCUZ,,,,https://en.wikipedia.org/wiki/Santa_Cruz_Airport_(Chile),,50,2024-05-18T22:32:51+00:00
45071,SCPT,small_airport,"La Puerta Airport",-34.613056,-71.375833,509,SA,Chile,CL,"O'Higgins Region",CL-LI,LI,"Santa Cruz",0,SCPT,,,,,,50,2009-10-16T21:48:55+00:00
314773,CL-0004,small_airport,"Cinco de Enero Airport",-52.595,-70.3521,84,SA,Chile,CL,"Magallanes Region",CL-MA,MA,"Santa Maria",0,,,,,,,50,2015-06-13T04:27:57+00:00
39153,SCHC,small_airport,"Chicureo Airport",-33.267776,-70.647224,1886,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Santiago,0,SCHC,,,,https://en.wikipedia.org/wiki/Chicureo_Airport,,50,2024-05-18T22:01:08+00:00
